01-01-2005,Salary,40000,Income,
01-01-2005,Other Income (Interest/Dividends etc),4000,Income,
01-01-2005,Rent,10000,Expense,Nondiscretionary
01-01-2005,School/College Fees,3000,Expense,Nondiscretionary
01-01-2005,Groceries,2400,Expense,Nondiscretionary
01-01-2005,Vegetables/Fruits,1200,Expense,Nondiscretionary
01-01-2005,Clothes (Essential),600,Expense,Nondiscretionary
01-01-2005,Clothes (Non-Essential),1500,Expense,Discretionary
01-01-2005,Entertainment,3000,Expense,Discretionary
01-01-2005,Holidays,2000,Expense,Discretionary
01-01-2005,Eatout,2000,Expense,Discretionary
01-01-2005,Miscellaneous,5000,Expense,Discretionary
01-01-2005,Transportation,800,Expense,Nondiscretionary
01-01-2005,Health Insurance,400,Expense,Nondiscretionary
01-01-2005,Term Insurance,600,Expense,Nondiscretionary
01-01-2005,Tax,6600,Expense,Nondiscretionary
01-01-2005,Equity Investment,2450,Investment,
01-01-2005,Fixed Income Investment (PF/PPF/FDs/Debt MF),2450,Investment,
01-02-2005,Salary,40000,Income,
01-02-2005,Other Income (Interest/Dividends etc),4000,Income,
01-02-2005,Rent,10000,Expense,Nondiscretionary
01-02-2005,School/College Fees,3000,Expense,Nondiscretionary
01-02-2005,Groceries,2400,Expense,Nondiscretionary
01-02-2005,Vegetables/Fruits,1200,Expense,Nondiscretionary
01-02-2005,Clothes (Essential),600,Expense,Nondiscretionary
01-02-2005,Clothes (Non-Essential),1500,Expense,Discretionary
01-02-2005,Entertainment,3000,Expense,Discretionary
01-02-2005,Holidays,2000,Expense,Discretionary
01-02-2005,Eatout,2000,Expense,Discretionary
01-02-2005,Miscellaneous,5000,Expense,Discretionary
01-02-2005,Transportation,800,Expense,Nondiscretionary
01-02-2005,Health Insurance,400,Expense,Nondiscretionary
01-02-2005,Term Insurance,600,Expense,Nondiscretionary
01-02-2005,Tax,6600,Expense,Nondiscretionary
01-02-2005,Equity Investment,2450,Investment,
01-02-2005,Fixed Income Investment (PF/PPF/FDs/Debt MF),2450,Investment,
01-03-2005,Salary,40000,Income,
01-03-2005,Other Income (Interest/Dividends etc),4000,Income,
01-03-2005,Rent,10000,Expense,Nondiscretionary
01-03-2005,School/College Fees,3000,Expense,Nondiscretionary
01-03-2005,Groceries,2400,Expense,Nondiscretionary
01-03-2005,Vegetables/Fruits,1200,Expense,Nondiscretionary
01-03-2005,Clothes (Essential),600,Expense,Nondiscretionary
01-03-2005,Clothes (Non-Essential),1500,Expense,Discretionary
01-03-2005,Entertainment,3000,Expense,Discretionary
01-03-2005,Holidays,2000,Expense,Discretionary
01-03-2005,Eatout,2000,Expense,Discretionary
01-03-2005,Miscellaneous,5000,Expense,Discretionary
01-03-2005,Transportation,800,Expense,Nondiscretionary
01-03-2005,Health Insurance,400,Expense,Nondiscretionary
01-03-2005,Term Insurance,600,Expense,Nondiscretionary
01-03-2005,Tax,6600,Expense,Nondiscretionary
01-03-2005,Equity Investment,2450,Investment,
01-03-2005,Fixed Income Investment (PF/PPF/FDs/Debt MF),2450,Investment,
01-04-2005,Salary,40000,Income,
01-04-2005,Other Income (Interest/Dividends etc),4000,Income,
01-04-2005,Rent,10000,Expense,Nondiscretionary
01-04-2005,School/College Fees,3000,Expense,Nondiscretionary
01-04-2005,Groceries,2400,Expense,Nondiscretionary
01-04-2005,Vegetables/Fruits,1200,Expense,Nondiscretionary
01-04-2005,Clothes (Essential),600,Expense,Nondiscretionary
01-04-2005,Clothes (Non-Essential),1500,Expense,Discretionary
01-04-2005,Entertainment,3000,Expense,Discretionary
01-04-2005,Holidays,2000,Expense,Discretionary
01-04-2005,Eatout,2000,Expense,Discretionary
